Prokeep English / French Translations ,,,,,,
Purpose: Record the French translation of Prokeep ,,,,,,
,,,,,,
App Section,Sub Section,English,French,Spanish,Notes,ID
Settings,My Account,Profile,,,,settings-AccountSettings-profile
,,Password,,,,settings-AccountSettings-password
,,First Name,,,,settings-ProfileForm-firstName
,,Last Name,,,,settings-ProfileForm-lastName
,,Cell Phone,,,,settings-ProfileForm-cellPhone
,,Email,,,,settings-ProfileForm-email
,,Update,,,,settings-ProfileForm-update
,,Current Password,,,,settings-PasswordForm-currentPassword
,,New Password,,,,settings-PasswordForm-newPassword
,,Save Password,,,,settings-PasswordForm-password
,,Be at least 8 characters in length.,,,,signin-PasswordRequirements-passwordLength
,,Contain at least 1 uppercase and 1 lowercase letter.,,,,signin-PasswordRequirements-upperCharLowerChar
,,Contain at least 1 number (0-9).,,,,signin-PasswordRequirements-number
,,My Account,,,Toast notification,settings-AccountSettings-header
,,Success! Profile updated.,,,Toast notification,settings-ProfileFormContainer-profileUpdated
,,Success! New password saved.,,,Toast notification,settings-PasswordFormContainer-success
,,Error! Incorrect current password.,,,Toast notification,settings-PasswordFormContainer-error
,,Phone number is already in use!,,,,settings-ProfileFormContainer-phoneNumberError
,,There was an error!,,,,settings-ProfileFormContainer-error
,,,,,,
Settings,Preferences,Stock messages,,,,settings-Preferences-stockMessages
,,Preferences,,,,settings-Preferences-header
,,Notifications,,,,settings-Preferences-notifications
,,Appearance,,,,settings-Preferences-appearance
,,Message One,,,,settings-StockMessagesForm-messageOne
,,Message Two,,,,settings-StockMessagesForm-messageTwo
,,Message Three,,,,settings-StockMessagesForm-messageThree
,,Save,,,,settings-StockMessagesForm-save
,,Desktop Notifications,,,,settings-DesktopNotificationsForm-headerText
,,Sounds,,,,settings-DesktopNotificationsForm-sounds
,,Interval,,,,settings-DesktopNotificationsForm-interval
,,None,,,,settings-DesktopNotificationsForm-none
,,Jingle,,,,settings-DesktopNotificationsForm-jingle
,,Blip,,,,settings-DesktopNotificationsForm-blip
,,30 seconds,,,,settings-DesktopNotificationsForm-halfMinute
,,1 minute,,,,settings-DesktopNotificationsForm-minute
,,2 minutes,,,,settings-DesktopNotificationsForm-twoMinutes
,,5 minutes,,,,settings-DesktopNotificationsForm-fiveMinutes
,,Email Notifications,,,,settings-EmailNotificationForm-emailNotifications
,,Send me an Email,,,"The blank is a dropdown with numerals in it, no words.",settings-EmailNotificationForm-sendEmail
,,minutes after any of the following events occur:,,,,settings-EmailNotificationForm-minutesAfter
,,Unread messages,,,,settings-EmailNotificationForm-unreadMessages
,,Unclaimed threads,,,,settings-EmailNotificationForm-unclaimedThreads
,,You ´ve received a new messages in a thread that you own.,,,,settings-EmailNotificationForm-newMessageReceived
,,A recent thread has not been claimed.,,,,settings-EmailNotificationForm-recentThreadUnclaimed
,,Success. Stock messages saved.,,,Toast notification,settings-useStockMessages-success
,,Error! Stock messages could not be saved.,,,,settings-useStockMessages-error
,,Success! Desktop Notification settings saved.,,,Toast notification,settings-useDesktopNotifications-success
,,Success! Email Notifications settings saved.,,,Toast notification,settings-EmailNotificationsContainer-success
,,Successfully updated theme!,,,Toast notification,settings-Appearance-success
,,"An error occurred, could not update theme.",,,,settings-Appearance-error
,,Error! Desktop Notifications settings could not be saved.,,,,settings-useDesktopNotifications-error
,,Prokeep Theme,,,,settings-Appearance-prokeepTheme
,,Mode,,,,settings-Appearance-mode
,,Light,,,,settings-Appearance-light
,,Classic,,,,settings-Appearance-classic
,,Error! Email Notifications settings could not be saved.,,,,settings-EmailNotificationsContainer-error
,,Everything is ready.,,,,settings-StockMessagesContainer-messageOne
,,Working on it.,,,,settings-StockMessagesContainer-messageTwo
,,Got it.,,,,settings-StockMessagesContainer-messageThree
,,,,,,
Settings,Users,All,,,,settings-TeamPageContainer-all
,,Search for a team member...,,,,settings-TeamMembersFilter-searchPlaceholder
,,Add new,,,,settings-Team-addNew
,,Name,,,,settings-TeamTable-name
,,Email,,,,settings-TeamTable-email
,,resend invite,,,,settings-TeamTable-resentInvite
,,No one with that information found.,,,,settings-TeamTable-notFound
,,Admin,,,,settings-TeamTable-admin
,,Manager,,,,settings-TeamTable-manager
,,pending,,,,settings-TeamTable-pending
,,Users,,,,settings-Team-users
,,,,,,
,Users > Edit User,Edit User,,,,settings-EditTeamMember-editUser
,,Users,,,,settings-EditTeamMember-users
,,First Name,,,,settings-TeamMemberForm-firstName
,,Last Name,,,,settings-TeamMemberForm-lastName
,,Email,,,,settings-TeamMemberForm-email
,,Cellphone,,,,settings-TeamMemberForm-cellphone
,,Role,,,,settings-TeamMemberForm-role
,,Admin has complete administrative access and is typically limited to a few individuals.,,,,settings-TeamMemberForm-adminTool
,,"Manger has the ability to add, edit, and delete members of their groups.",,,,settings-TeamMemberForm-managerTool
,,Member is the default role for users with standard access.,,,,settings-TeamMemberForm-memberTool
,,Member,,,,settings-TeamMemberForm-memberOption
,,Manager,,,,settings-TeamMemberForm-managerOption
,,Administrator,,,,settings-TeamMemberForm-adminOption
,,Groups,,,,settings-TeamMemberForm-groups
,,"Group name, department, etc",,,,settings-EditUser-groupDropDownPlaceholder
,,Submit,,,,settings-TeamMemberForm-submit
,,Delete,,,,settings-TeamMemberForm-delete
,,Required.,,,,settings-TeamMemberForm-required
,,Successfully added,,,Toast notification.,settings-AddTeamMember-added
,,New members added succesfully.,,,,settings-TeamMemberForm-newMembersAdded
,,The email [email] is already in use.,,,,settings-EditTeamMember-emailInUse
,,The phone number [phoneNumber] is already in use.,,,,settings-EditTeamMember-numberInUse
,,,,,,
,Users> Delete,Delete this account?,,,,modals-DeleteTeamMember-deleteAccount
,,Are you sure you want to delete the account for [name]?,,,,modals-DeleteTeamMember-areYouSure
,,Cancel,,,,modals-DeleteTeamMember-cancel
,,"Yes, Delete",,,,modals-DeleteTeamMember-yesDelete
,,Successfully deleted,,,,modals-DeleteTeamMember-success
,,,,,,
Settings,Groups,Groups,,,,settings-Groups-groups
,,Search by name...,,,,settings-GroupListFilter-placeholder
,,Create Group,,,,settings-Groups-createGroup
,,Name,,,,settings-GroupList-name
,,Phone Number,,,,settings-GroupList-phoneNumber
,,Members,,,,settings-GroupList-members
,,Sharing,,,,settings-GroupList-sharing
,,On,,,,settings-GroupList-on
,,Off,,,,settings-GroupList-off
,,No groups with that information found.,,,,settings-GroupList-noGroupsFound
,,,,,,
,Groups> Create Group,Create Group,,,,settings-AddOrEditGroup-createGroup
,,Edit Group,,,,settings-AddOrEditGroup-editGroup
,,Name,,,,settings-AddOrEditGroup-name
,,Phone Number,,,,settings-AddOrEditGroup-phoneNumber
,,Want a phone number assigned to this group?,,,,settings-AddOrEditGroup-wantPhoneNumber
,,Contact Support,,,,settings-AddOrEditGroup-contactSupport
,,Sharing,,,,settings-AddOrEditGroup-sharing
,,Share Unclaimed message wait time,,,,settings-AddOrEditGroup-shareUnclaimed
,,Minutes,,,,settings-AddOrEditGroup-minutes
,,Share with the following groups:,,,,settings-AddOrEditGroup-shareWithGroups
,,Save,,,,settings-AddOrEditGroup-save
,,Success! New group created,,,,settings-AddOrEditGroup-successNewGroup
,,Success! Group settings updated,,,,settings-AddOrEditGroup-successGroupSettings
,,There was an error,,,,settings-AddOrEditGroup-error
,,,,,,
,Groups> [Group Name],Members,,,,settings-GroupMembers-members
,,Groups,,,,settings-GroupMembers-groups
,,Add a member,,,,settings-GroupMembers-addMember
,,Delete this member from the group and remove them from all group records?,,,,settings-GroupMembers-deleteMember
,,This action can not be undone,,,,settings-GroupMembers-actionSubtext
,,Delete,,,,settings-GroupMembers-delete
,,Group Details,,,,settings-GroupMembers-groupDetails
,,Edit,,,,settings-GroupMembers-edit
,,Phone,,,,settings-GroupMembers-phone
,,Sharing,,,,settings-GroupMembers-sharing
,,Disabled,,,,settings-GroupMembers-disabled
,,Enabled,,,,settings-GroupMembers-enabled
,,This group has no team members,,,,settings-GroupMembers-noMembers
,,Add a team member,,,,settings-GroupMembers-addTeamMember
,,Enter User Name,,,,settings-AddMember-enterName
,,Add a member,,,,modals-AddMember-addMember
,,save,,,,modals-AddMember-save
,,cancel,,,,modals-AddMember-cancel
,,Add up to 5 team members at a time,,,,modals-AddMember-addFive
,,,,,,
,,,,,,
